text,,,
RT @NikiZoli: I watch in awe and concern. Hurricane Florence &amp, Typhoon Mangkhut this weekend + other regions affected by significant &amp, reco…,Green_Hotelier
RT @RICSnews: Pride in the Profession | Martin J Brühl FRICS: The first RICS president to address the UN conference on climate change, call…,STBA_UK,
"RT @anneke_andries: Fecal waste in #AnimalAgricultural is toxic, especially with massive hurricanes spreading it even farther.   #ActOnClim…",XavierMitjavila,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,legrandElsa,,
"#ClimateFocus : 🏙️ Cities have an essential role to play in the fight against #climatechange. @odican, Head of Loca… https://t.co/8be0uJADQH",AFD_en,,
It has begun! #POSTUKlive https://t.co/bxPcwsA6T2,lefapostolakis,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,apabulayan20,,
Half of the Great Barrier Reef Is Dead https://t.co/f8Ny4Pzg33,dbhasin,,
"RT @PaulEDawson: Climate change has helped melt nearly a fifth of Colombia's mountaintop glacier cover in just seven years, the government…",Schneider_HansC,,
"RT @HildaGalt: Very happy to see the launch of the #CoolFoodPledge! Helping food providers to offer meals that are appealing and #healthy,…",lieketg,,
@ncrebelbelle @okiehawkeye @TimRunsHisMouth I would love to be proven wrong but I know you worship all Trump talkin… https://t.co/jajGiLbO6p,vincedemello,,
RT @CDP: New @AmericasPledge report shows that non-state actors in the US are taking action to uphold the goals of the Paris Agreement. Cit…,bgomes92,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",philiprichards5,,
Drought-affected farmers challenge PM in climate change TV ad https://t.co/TENalru07j via @SBSNews,DerekRobinson2,,
Talking climate change with voters https://t.co/v6crMnN35P,econewsbot,,
"Hautes-Pyrénées : 91 jours sans gel au Pic du Midi
#ClimateChange https://t.co/1y2qmzGI1c",mej31600,,
RT @Citi973: We need to reflect on climate change and how it's affecting us. Already we're not disposing of plastics properly and are cutti…,Bobbyme3,,
"RT @cathmckenna: When I talk about climate change, I want to be talking about people. I want to talk about the impact climate change has on…",yelexfag,,
RT @BullTesla: @RamTrucks You are not helping your community by contributing to #ClimateChange. Ditch hydrocarbons and go electric like $TS…,rocobasilisk,,
‘Connecting the dots’ between faith and climate change https://t.co/QoeYYFzkxw,FredKwint,,
RT @NatCapCoalition: What The World Needs Now To Fight Climate Change: More Swamps: “Drain the swamp” has long meant getting rid of somethi…,MikeChristieUni,,
Just in case: #California plans to launch its own #climate satellite to detect pollution and address climate change… https://t.co/UAc2FzjgSI,IBCSOLAR_Int,,
"RT @SethMacFarlane: Not within the community of credible climate scientists. At one time, scientific advisories  were taken seriously by BO…",BettysLove,,
"RT @TheLeap_Org: We want to talk how buying pipelines isn’t #climateaction. It’s time we all talk about that, @cathmckenna. https://t.co/lD…",maryantico,,
Climate Reality: How We Empower Communities to Fight Climate Change https://t.co/R0GDFCU5Iy,betsymullen,,
This is going to make commodity trading more interesting! https://t.co/qT73SJqbzF,Polcaterwaul,,
Inspiration for change. #5Star Now on #Kindle #Free w print book https://t.co/4cMnYJMf3j #ClimateChange https://t.co/ISht7lVk1L,darielgarner,,
RT @CopernicusEU: Children for the Oceans is a non-profit organisation founded by a 14-year-old student &amp, dedicated to raising children’s a…,Ce_Donati,
RT @BullTesla: A little help on replies and likes $TSLA Bros?  The Fossil Fuel guys are laughing at us. 😡 https://t.co/Ax8rUhfoHF,rocobasilisk,,
RT @cultureandcc: .@cultureandcc keynote @ageiweb by @renatatyszczuk &amp, @citizenjoesmith in wonderful setting of #PalazzoBo @UniPadova  http…,SSoA_research,
"Kategori 6-orkaner, 100 m/s... https://t.co/kZbw2FpIUf",JonatanBjorse,,
RT @Bill_Nye_Tho: i go to sleep happy every night knowing i aint a climate change denier,JamesonMcenany,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,HungTsz,,
"A container ship has become the first to navigate the Arctic route above Russia, thanks to melting sea ice.… https://t.co/3fklbIfX7y",wrieurope,,
Best climate change hashtag ever #shitoutoftime https://t.co/CoFXIiMfQo # via @HuffPostEnt,PobiWan,,
"Philanthropies Pledge $4 Billion to Combat Climate Change. A coalition of twenty-nine #philanthropies, the largest-… https://t.co/BBvctj4grc",pdjmoo,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,DrNjengaSolomo2,,
"RT @EwaSynowiec: Trade policy alone cannot overcome all challenges of #sustainabledevelopment incl. decent work, #labourstandards #socialco…",choumde,,
RT @alex_randall: Short answer: a lot more racism and not very much action on climate change  https://t.co/04x7m10Z5f,SergiodeOtto,,
Heute ist die Flora und Fauna 500m höher! https://t.co/gGc9IgWrLo #climatechange #TalkingAboutHumboldt,chronohh,,
"RT @Sciguy999: Expect more intense hurricanes ""Florence is yet another poster child for the human-supercharged storms that are becoming mor…",RobRe62,,
RT @IMO_USA: ⁦@algore⁩ is a snake oil salesman who made millions peddling global warming bullshit to stupid people that lapped it up.  http…,tima513,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,kindlyjinkxed,,
The latest Innovazione Sociale Daily! https://t.co/odBQy3koos Thanks to @GBudano #napoli #climatechange,InnovazSociale,,
"RT @Sciguy999: Expect more intense hurricanes ""Florence is yet another poster child for the human-supercharged storms that are becoming mor…",RemingtonLongst,,
"RT @Sciguy999: Expect more intense hurricanes ""Florence is yet another poster child for the human-supercharged storms that are becoming mor…",XavierMitjavila,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,PaulaUmami,,
@TheLeap_Org @cathmckenna Her sign says it all. They just want to TALK about fighting climate change.,maryantico,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,Bobduff1,,
"RT @Jackthelad1947: @JayQPublic No one ever said #Neoliberalism was logical.

It started as a cargo cult, now it’s turning into a suicide c…",CntrlPimpernel,,
"RT @tasplnpsg: #Auspol #TonyAbbott #TurncoatTraitor

The fraudsters are going to hang on until there is nothing left... https://t.co/u6vkx5…",Ama_Di_57,,
RT @Fort1791: @SteveDeaceShow @DeaceOnline @DeaceProducer Wow self awareness really is dead.  #progressivepope https://t.co/Tww3IvBN4t,DeaceOnline,,
"#China evacuates 3 millions after #TyphoonManghkut leaves #HongKong in tatters

#CdnPoli #uspoli #auspol
#nzpol… https://t.co/qEed02Ib1t",RemusRoma,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,Devkant76561901,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,lanamoans,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",mummygirl,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,prospathia,,
"RT @picadorbooks: Have you spied the programme for this year's @PoetryAldeburgh Festival? 👀

Focusing on Climate, Identity and Change this…",stephenson_pj,,
The uninformed agenda by the former governor and her followers is astounding. https://t.co/es7CnFnL4F,TylerTrupp,,
Here’s how climate change is impacting four different parts of the United States – and what you can do in your stat… https://t.co/AHtPpy73iF,betsymullen,,
"RT @jenzhuscott: Keep denying #ClimateChange, keep take no actions, people! #TyphoonManghkut #HK https://t.co/hbjS0DMPYb",CrackedCopy,,
"RT @SocialWiz: Harrison Ford's powerful speech from the Global #Climate Action Summit.

#GCAS2018 #ClimateChange 

https://t.co/fgm6Sty5aq",isapill,,
"🎗Betty’s Tips™
Families—Turn OFF TV!
Alz Mom&amp;Dad AND #KIDS
CAN compREhend
—🌪️Flood AND Fear.
—😰WILL Worry!
In lieu?… https://t.co/hky9hOtKmr",BettysLove,,
"Want to keep up with our news &amp; latest reports on #environment #energy, #bioscience?
Subscribe to our newsletter at… https://t.co/eVghNdos7u",EASACnews,,
"RT @AmericanPapist: The Church’s only “agenda” is the conversion and salvation of souls.

The clergy sexual abuse scandal is a direct imped…",RuthLoganHerne,,
"RT @EuropeDirectWxm: 🐠Coral reefs everywhere are in danger of overheating, but @ERC_Researchfunded  @Coralassist_Lab  at @UniofNewcastle  w…",HeldinEU,,
Spread the risk! https://t.co/kN6s0RweNW,criscariver,,
RT @MasterGIS_Droni: @citizenjoesmith e @renatatyszczuk presentano i loro lavori di #culture and #climatechange alle Giornate #geografiapad…,SSoA_research,,
Happy Monday! Why not start your week in worship? Have a listen to the new worship song released by @RenewOurWorld_… https://t.co/4cDthjEe3k,TearfundAct,,
California to launch its own satellite to monitor climate change? https://t.co/5rfkerKgYx #innovation #tech… https://t.co/RW6SNt9Lyk,LennyManor,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",JaneCaro,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,Suketchiihara,,
Are we close to a climate #Apocalypse ? Watch Professor Peter Wadhams answer this as he talks about his book ‘A Far… https://t.co/agP2mxQQOl,planthro,,
#StefanMittlböckJungwirthFohringer #climateart #artinnature #environmentalart #theartofclimatechange #climate… https://t.co/MD4LZuUDuL,meldcc,,
"RT @HealthyFuturez: Want to STOP Adani's mega #coal mine? Hit the streets on 6th-7th October to #ActOnClimate, #ProtectHealth, and #StopAda…",Jackthelad1947,,
"Emergency Call! Typhoon Mangkhut Hits Hong Kong, Guangdong, China #globalwarming #emergency #call #help #typhoon… https://t.co/FLt9PrYdFq",WuWeiToday,,
"RT @PaulEDawson: Climate change has helped melt nearly a fifth of Colombia's mountaintop glacier cover in just seven years, the government…",m97tang,,
"RT @anneke_andries: Fecal waste in #AnimalAgricultural is toxic, especially with massive hurricanes spreading it even farther.   #ActOnClim…",RemingtonLongst,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,VictorLega_86,,
Here’s How Climate Change Affects Our Health (via @ClimateReality) #ClimateChangesHealth https://t.co/qqiaPrc4ew,betsymullen,,
"RT @FAOAfrica: Urban #agriculture provides fresh food, generates employment, recycles urban wastes, creates #greenbelts, and strengthens ci…",MaleneArboeR,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,Ni25156641,,
"RT @farmingforever: “We need to stick to the Paris agreement, we need to stop burning coal, and we need to commit to more renewable energy”…",cecenviro,,
The spectre of conservation in a time of rapid change - 25th September is the Gordon Goodman Memorial Lecture hoste… https://t.co/4IxvM5Ks6g,sthlmresilience,,
'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate… https://t.co/LyYmIdkvzC,TabariHossein,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,cardcounterswin,,
We need to reflect on climate change and how it's affecting us. Already we're not disposing of plastics properly an… https://t.co/UkUGcLjm2p,nectalab,,
@jimmy_dore Like u said bc they're 2 sides of same War Party coin. Also Big Pharma lobbyists spend more per yr lobb… https://t.co/8BVrOPn8UM,Joose_Johnson,,
"RT @TimBuckleyIEEFA: Wind, solar and hydro supplied 25.6% of the 🇦🇺 National Electricity Market in August. South Australia led mainland sta…",BenedictDM,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",Juanita_Phillip,,
"RT @Jackthelad1947: When are we going to put water before coal?

#auspol #qldpol #nswpol #Drought

#StopAdani #EndCoal

Demand #ClimateActi…",Jackthelad1947,,
RT @DrMikeSparrow: The strange science of melting ice sheets: three things you didn't know https://t.co/hmIop0pmMO #IceSheets #sealevel #SD…,LoosingNemo_,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,Serialchiller1,,
"RT @MeckeringBoy: Remember when Tony Abbott said a warming world was better than a cooling one?

People die. Are forced from their homes. M…",Jackthelad1947,,
RT @BillyArmagh: Translation: your family will be paying for climate change instead of the biggest polluters. You will also pay millions fo…,paulmelanson007,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",philiprichards5,,
"RT @350Perth: Watch: Drought-affected communities need climate action 

#auspol #RiseForClimate #StopAdani #ClimateChangeIsReal 

https://t…",Jackthelad1947,,
"RT @Jonathan_K_Cook: The answer to 'Will we start seeing catastrophic category-6 hurricanes?' is of course we will. And without action, we'…",JeanRowe2,,
"RT @ProfTerryHughes: Anthropogenic global warming is a threat to the food security of tropical maritime countries: On coral reefs, 60% of f…",johnsalmond,,
"RT @Jackthelad1947: There’s no such thing as society.

#Neoliberalism is the problem.

#TheDrum #QandA 

#auspol #qldpol #nswpol

#ClimateC…",WgarNews,,
Helping coral reefs... https://t.co/klLk0PAXVf,EDICNI,,
Important https://t.co/h5xtJTP4z6,HibbertMatthew,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",aviationcomment,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,Coffey6Coffey,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",OAK77uk,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,nmcnoel,,
"RT @earth_riot: #Brescia (#Italy) 
Demo #solidarity from Bosco di S. Anna to #HambacherForst Resistance
Earth Liberation is Total Liberatio…",IRxCellent,,
"RT @KayKosmos: Klein: ""Climate chaos is a justice issue. Economic justice. Racial justice. Migrant justice. Gender justice. Justice for the…",tntlarose,,
Climate Change -- We All Need to Educate Ourselves . Click here to read our newsletter. https://t.co/LomO97Ru2f https://t.co/z6nRPdlBII,kwforget,,
"RT @ProfTerryHughes: Australian farmer: “We need to stick to the Paris agreement, we need to stop burning coal and we need to commit to mor…",KitttyKattz,,
"RT @axios: As extreme weather sparks crises around the world, climate change has the potential to erode the gains made toward fighting glob…",kstreet111,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,BartBrudz,,
"RT @axios: The number of undernourished people around the globe increased to nearly 821 million in 2017, the third straight year of growth…",kstreet111,,
"@jboyded @J133H @JaneCaro @PatsKarvelas @smh @TonyAbbottMHR I don't believe him for a second, no one goes from a tr… https://t.co/jvdyfFtwEf",shandcunt,,
RT @AIKohilawatta: Women and youth in the #DryZone communities n #LKA are particularly more vulnerable to climate change impacts. 51% of th…,senakaweeraman,,
"RT @savemedcoasts: Savemedcoasts is now at the IGCP Project 639 in Taranto.
#sealevelrise #IGCP639 #taranto #tsunami #stormsurges #marinefl…",SeaLevelNTU,,
California to launch its own satellite to monitor climate change? https://t.co/hmjUNyCoWs,DarrenFowerTzar,,
RT @alicebell: Interesting action from farmers in Australia https://t.co/tCanp1bzMo,shivamg,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",L_DeWeaver,,
Milieucoalitie tegen cruisegigant Carnival: stop met stookolie in Noordpoolgebied : Duurzaamnieuws (photo Pierre Cr… https://t.co/5LX8a8p2St,PierreCrom,,
RT @StefanMolyneux: Let us deal with your child rape coverups: your choices have repercussions on the lives of the children who are being r…,The_Rippening,,
Minesto News Update 17 Sept: Nordic Tech event in Brussels, RE investments to triple by 2050, AWTEC highlights Asia… https://t.co/M98dioMcJG,MinestoAB
RT @4cleanenergies: Farmers want action on #climatechange #auspol #nswpol #qldpol #StopAdani #EndCoal #Drought #Bushfire #Heatwave = #Clima…,Jackthelad1947,,
"RT @POST_UK: Starting with our Biology and Health section, we are announcing one new POSTnote. Climate change and vector-borne disease will…",DiMeN_DTP,,
RT @IrelandWales: Announced today by @wgcs_finance €4.3m of EU funds for #IrelandWales marine observation initiative STREAM - using technol…,INTERREGTweets,,
"RT @honestlyAbroad: I'm writing a book. Its provisionally entitled #TheWannabe.
I would say I'm about two fifths of the way through writing…",marieksOz,,
How might a philosopher frame the problem of climate change? What can philosophers learn from environmentalists and… https://t.co/6Zf1vKF6ym,BtWisteria,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,amiyoch,,
"RT @GCAS2018: ""We are working against more than climate change. We are working against the idea that this problem is too big."" — Watch the…",Eating_Better,,
"RT @AOECOIN: #AOE made it wildly profitable to #invest and #lend to help quality #Orphanages, Schools, Disability centers and Medical facil…",socialgoodstuff,,
"RT @ClimateChance: #GCAC2018 Vincent N'Cho, Vice-gouverneur #Abidjan fait état de la coopération trans-frontalière Burkina Faso 🇧🇫 Mali 🇲🇱…",NaizainP,,
"RT @hallberg_jerome: Climate change is real, says South Carolina mayor rushing back to hurricane https://t.co/ly66P6Y23J",SueCurrieFields,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,realADENZEL,,
Join us for: Communicating Climate Change – Why So Toxic? with the legendary climate scientist @ChrisRapley3131 on… https://t.co/D6MRUL27l2,LSE_ID,,
"Well there’s the rub. 
A country with a President that makes things up as he goes along. ( Denying death of 3,000 P… https://t.co/7z7gzfJ5z0",ChrisAllmey,,
"RT @ricklevy67: #ClimateChange , Water And The Spread Of Disease , Connecting The Dots
https://t.co/sAlmaNidue 
@randlight @ash_pl21174455…",Jackthelad1947,,
"RT @Jackthelad1947: @JayQPublic No one ever said #Neoliberalism was logical.

It started as a cargo cult, now it’s turning into a suicide c…",insi_nificant,,
"RT @ewaldeng: To all journo's...
We've got it: Trump is a boor...
Now get on with your job and start reporting on the stuff that truly matt…",zwamham,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,melissasantucci,,
RT @ClimateReality: Climate change-driven extreme weather can have major (and dangerous) impacts https://t.co/a9CE3EJHA7 #Florence https://…,DrNjengaSolomo2,,
"RT @jenzhuscott: 2/ to the #ClimateChange deniers who attacked me: keep sleep walking, geniuses.  

To many who don’t know HK: the typhoon…",davepermen,,
"RT @Jackthelad1947: #StopAdani #ClimateChange 

 https://t.co/0a8vc6E0Xp",Jackthelad1947,,
"RT @wrieurope: A container ship has become the first to navigate the Arctic route above Russia, thanks to melting sea ice. @WRIClimate @Wor…",bermonz,,
"@KeohaneDan @mihe2000 David T Davies is certainly not moderate.

I think he still denies climate change.

He would… https://t.co/Mq6REYx2Qe",MattFingersArni,,
"#QuestionOfTheDay - What is #Climatechange ? 
To my understanding in #laymans terms, #humans #overpopulation &amp; the… https://t.co/EAoNcb1klK",mumonamission5,,
"RT @YaleE360: We could be approaching the moment when cutting our CO2 emissions will no longer halt climate change, as massive positive fee…",storklompen,,
"RT @BenjaminJullien: ING to assess $600bn loan portfolio based on climate impact https://t.co/w13M7gDf9l via @financialtimes
#Climatechange…",IRxCellent,,
"RT @hi_paresh: When we criticise Modi, ppl say  don't insult PM's position. Boss, you are the ones who have insulted the PM's position by e…",charanjit2002,,
"The POSTnote will focus on the effects of these species on human health in the UK, and will look at effects of clim… https://t.co/bzAD9VXYmq",POST_UK,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",fatfei_,,
"Looking forward to the #LocalismSummit where leading thinkers, movers and shakers will discuss EU reform in runup t… https://t.co/gNbNWwyYA3",NevaNovaky,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",broomstick33,,
"RT @ricklevy67: #Doctors , #Nursers And #HealthProfessionals Join Climate Change Activists In Newcastle And Rally In Protest Of @ScottMorri…",Jackthelad1947,,
RT @climatecouncil: .@PaulMcCartney reveals new song about #climatechange https://t.co/csuOFHf4f2 @FoxNews https://t.co/36cpexJa6q,Jackthelad1947,,
We now have a former climate-change denier in charge of NASA. But we can’t put America first if we put climate chan… https://t.co/l75TELCJ7D,GrandmasWeb,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,EnicioEleyes,,
"RT @pcquest: @tech_mahindra and @gcas Launched #ArtificialIntelligence Challenge to Combat Climate Change
https://t.co/demtOsW4d2",myzubla,,
"RT @PaulEDawson: Climate change has helped melt nearly a fifth of Colombia's mountaintop glacier cover in just seven years, the government…",Jackthelad1947,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,Bible_Alive,,
Citigroup Says Tackling Climate Change Now Could Save $1.8 Trillion Over 25 Yrs https://t.co/NiQOuFHdIv via… https://t.co/Cjt5DMvH5x,TreeBanker,,
"RT @MeckeringBoy: “Murdoch loathed our stimulus strategy, detested our climate change strategy, but most importantly, railed against our go…",chookelini,,
"RT @lynlinking: Meet our new Minister for the Environment 
Ms Price appears to be a climate change denier, just what we don’t need in the E…",350Perth,,
RT @Neil_Fraser: Dear @nswpolice and @GladysB Drug consumption is like climate change. It is happening regardless of your policies. You ack…,joelamurray,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,Lourdes25773976,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,pulmardinky,,
"RT @c40cities: ""We know that when it comes to climate change, the people who are impacted first and worst are our most vulnerable."" - Mayor…",RobRe62,,
Great interview with @KHayhoe in @MotherJones! Especially liked her comments about communicating science! https://t.co/vOZEw4d4BB,RWClark,,
RT @betsymullen: Here’s How Climate Change Affects Our Health (via @ClimateReality) #ClimateChangesHealth https://t.co/qqiaPrc4ew,maggiesmumbles,,
"@katiedawson23 @rory_donaghy @rmcg2799 @tim_brannigan @sinnfeinireland @LiadhNiRiadaMEP This is such a reach, come… https://t.co/zlHX7dpgVE",ClarNiUigin,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,Jackthelad1947,,
"RT @climatecouncil: #Climatechange &amp; #wine: The warmer weather may benefit English vineyards, but winemakers from Bordeaux to California ar…",Jackthelad1947,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,dbhattathiri,,
RT @ClimateReality: Look around – there’s no denying that the global climate is changing and that we need to act now to curb carbon emissio…,DrNjengaSolomo2,,
"“so long as the lands of tribal people, Indigenous people, are allowed to be encroached upon, our climate goals wil… https://t.co/55sqzThBzk",AylanX,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,witchpop,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,sharanjit,,
"Global hunger levels rising due to extreme weather, UN warns. Progress made in the past decade has been reversed, w… https://t.co/hEhVuj4uWr",SIANIAgri,,
Changes in Water Balance in The Arctic To Have Implications For Global Climate: https://t.co/kLCvS0QZ7C… https://t.co/37itsJbSUu,annemariayritys,,
Drought-stricken farmers challenge Coalition's climate change stance in TV ad | Environment | The Guardian https://t.co/LQwd1UhlC7,shivamg,,
"RT @Can2geterdone: Al Gore Gets Called Out by Expert for Fraudulent Claim About Hurricane Florence!!

When you are a Global Warming pimp yo…",luli60,,
RT @JustinTrudeau: What’s the best way to take real action on climate change? Here’s my response from this week’s town hall in Saskatoon ab…,WaheedKhanPTi43,,
RT @manny_ottawa: Harrison Ford — jet sets everywhere also with his number of mansions he uses about the same energy as one billion people…,mephistofish,,
RT @gorgeousdunny1: Plenty of people understand that governing is not just serving the rich and powerful. https://t.co/IxV3L5W4hk,cunningham_cch,,
@jenzhuscott Climate change deniers really dared to write? 🤦‍♂️ Albert Einstein was right..,YourInnerRipple,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,stella_maris03,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,ainamanamtam,,
"RT @therealchangers: Check out our co-founder @maikoschaffrath 's latest #ImpactHustlers podcast episode with Brenden Millstein, founder &amp;…",PraskSutton,,
"RT @ricklevy67: A Warning To @ScottMorrisonMP , #ClimateChange Is Worsening Public Health Problems. #ClimateAction Now Before Its Out Of Co…",Jackthelad1947,,
"RT @bella_linne: Höstläsning; ""The Madhouse Effect"" av Michael E. Mann ( köp eller låna ) Super!!! Finns översatt @MichaelEMann .
Malena Er…",Malena_Ernman,,
"@afneil Nothing to do with ""global warming"", North-East and North-West passages have been open in the past. Depends… https://t.co/5CMMhLzHaO",AlbertStienstra,,
@LinoBertuzzi @KialoHQ Are you trying to say that you do not believe in anthropogenic (human-induced) climate chang… https://t.co/OD2JX11eZW,MichRogCook,,
"RT @Jackthelad1947: There’s no such thing as society.

#Neoliberalism is the problem.

#TheDrum #QandA 

#auspol #qldpol #nswpol

#ClimateC…",antiqueman99,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,Maintenonmadame,,
"RT @Jonathan_K_Cook: The answer to 'Will we start seeing catastrophic category-6 hurricanes?' is of course we will. And without action, we'…",7Mugginz7,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,nix_coleee,,
Tackle Climate Change https://t.co/jH3goCcYTr,Alenroy6,,
"RT @ricklevy67: #ClimateChange Impacts On Human Health Are Growing Each Year Yet Governments Like @ScottMorrisonMP s Turn A Blind Eye
https…",Jackthelad1947,,
RT @market_forces: Storms are already more destructive because of #GlobalWarming. #Insurance companies like @QBE should be protecting us fr…,L_DeWeaver,,
Why are states obliged under IHRL to ensure their citizens a healthy environment? https://t.co/wwdORYyv3J… https://t.co/PNSZKn7Vkk,GCCThinkActTank,,
"RT @TimBuckleyIEEFA: Wind, solar and hydro supplied 25.6% of the 🇦🇺 National Electricity Market in August. South Australia led mainland sta…",johnsalmond,,
RT @hallberg_jerome: Action on climate change could add $26 trn to world economy by 2030: Study https://t.co/cze2G6Ce98,SueCurrieFields,,
"RT @ricklevy67: #Doctors , #Nursers And #HealthProfessionals Join Climate Change Activists In Newcastle And Rally In Protest Of @ScottMorri…",AB_Owl,,
RT @Deakin: #Deakin is training its own army of citizen scientists to monitor the effects of climate change on Victorian coastlines using d…,HardFastAndFree,,
Join us for: Communicating Climate Change – Why So Toxic? with the legendary climate scientist @ChrisRapley3131 on… https://t.co/D6MRUL27l2,LSE_ID,,
RT @market_forces: Storms are already more destructive because of #GlobalWarming. #Insurance companies like @QBE should be protecting us fr…,Jackthelad1947,,
RT @RealErinCruz: He has gone mad. https://t.co/R0KLtSTbHk,Lee1975Kimber,,
"RT @HealthyFuturez: Want to STOP Adani's mega #coal mine? Hit the streets on 6th-7th October to #ActOnClimate, #ProtectHealth, and #StopAda…",Stringy32,,
"@Can2geterdone now, now can’t imagine Al Gore making a fraudulent claim, the man’ brilliant! And after all he creat… https://t.co/rSppJlxh8W",SistaEddie,,
RT @c40cities: “How do we talk about climate to make sure people know that it’s about your families? Let’s get real and talk about the heal…,RobRe62,,
"RT @mumonamission5: #QuestionOfTheDay - What is #Climatechange ? 
To my understanding in #laymans terms, #humans #overpopulation &amp; the #bur…",IRxCellent,,
RT @GlobalGoalsUN: “We know enough to solve climate change.  What stops us is that ‘we don’t care’. From space I can tell you the most impo…,UNIC_Yaounde,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",Jackthelad1947,,
"RT @GreenRupertRead: https://t.co/phcEEKPPPm
Were you one of the 100000 who RT’d/liked my tweet? [If so, please tweet to let everyone know.…",Rasstass,,
RT @manny_ottawa: Harrison Ford — jet sets everywhere also with his number of mansions he uses about the same energy as one billion people…,Carbongate,,
